date,cash,positions_value,total_value,net_value,return,600036return,600036dividend,000333return,000333dividend,601919return,601919dividend,000858return,000858dividend,002602return,002602dividend,002555return,002555dividend,002466return,002466dividend,002460return,002460dividend,002738return,002738dividend
20240523,561894.7258000001,522952.0,1084846.7258000001,1.0848467258,84846.72580000013,-4203.4999999999945,4379.76,37647.967200000014,11880.0,52777.065600000016,5140.8,-1374.8070000000153,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240524,561894.7258000001,521333.0,1083227.7258000001,1.0832277258,83227.72580000013,-6331.4999999999945,4379.76,39759.967200000014,11880.0,52889.065600000016,5140.8,-3089.8070000000153,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240527,561894.7258000001,535162.0,1097056.7258000001,1.0970567258000001,97056.72580000013,-5211.4999999999945,4379.76,42087.967200000014,11880.0,62969.065600000016,5140.8,-2788.8070000000007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240528,561894.7258000001,537353.0,1099247.7258000001,1.0992477258000002,99247.72580000013,-6079.4999999999945,4379.76,40743.967200000014,11880.0,68457.06560000002,5140.8,-3873.8070000000153,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240529,561894.7258000001,534115.0,1096009.7258000001,1.0960097258000001,96009.72580000013,-6807.4999999999945,4379.76,37911.967200000014,11880.0,69353.06560000002,5140.8,-4447.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240530,561894.7258000001,523414.00000000006,1085308.7258000001,1.0853087258,85308.72580000013,-7451.49999999998,4379.76,36303.96720000004,11880.0,62969.065600000016,5140.8,-6512.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240531,561894.7258000001,522546.0,1084440.7258000001,1.0844407258000002,84440.72580000013,-7619.4999999999945,4379.76,35295.967200000014,11880.0,62969.065600000016,5140.8,-6204.80700000003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240603,561894.7258000001,533726.0,1095620.7258000001,1.0956207258000001,95620.72580000013,-7983.4999999999945,4379.76,35919.967200000014,11880.0,74393.06560000002,5140.8,-6708.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240604,561894.7258000001,541086.0,1102980.7258000001,1.1029807258000002,102980.72580000013,-6891.4999999999945,4379.76,35103.96720000004,11880.0,80217.06559999999,5140.8,-5448.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240605,561894.7258000001,536308.0,1098202.7258000001,1.0982027258000002,98202.72580000013,-8431.499999999995,4379.76,33279.967200000014,11880.0,80217.06559999999,5140.8,-6862.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
